Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
11-Dec-24,Wednesday,December,Q4,2024,EQ,1254.10,1258.35,1230.75,1248.75,1231.95,1233.80,1239.73,1621.40,989.25,2595435.00,3217649465.20,95424.00
10-Dec-24,Tuesday,December,Q4,2024,EQ,1272.90,1272.90,1244.40,1266.85,1252.00,1248.75,1252.71,1621.40,989.25,2406907.00,3015160752.75,79731.00
09-Dec-24,Monday,December,Q4,2024,EQ,1257.80,1277.55,1249.00,1259.05,1266.35,1266.85,1265.94,1621.40,989.25,2849557.00,3607380426.75,94096.00
06-Dec-24,Friday,December,Q4,2024,EQ,1279.00,1282.50,1256.10,1277.05,1257.80,1259.05,1267.45,1621.40,858.50,2232531.00,2829627377.85,80008.00
05-Dec-24,Thursday,December,Q4,2024,EQ,1274.00,1284.80,1254.20,1269.55,1275.40,1277.05,1272.31,1621.40,858.50,4369917.00,5559889531.10,162308.00
04-Dec-24,Wednesday,December,Q4,2024,EQ,1301.00,1301.00,1262.00,1288.65,1267.80,1269.55,1276.40,1621.40,858.50,4874025.00,6221225413.60,158425.00
03-Dec-24,Tuesday,December,Q4,2024,EQ,1226.95,1309.50,1220.00,1215.80,1287.00,1288.65,1280.12,1621.40,858.50,16753958.00,21447121858.75,387986.00
02-Dec-24,Monday,December,Q4,2024,EQ,1201.90,1220.90,1189.40,1190.05,1215.50,1215.80,1204.75,1621.40,858.50,6941125.00,8362294291.90,193832.00
29-Nov-24,Friday,November,Q4,2024,EQ,1175.00,1215.60,1168.90,1167.60,1187.50,1190.05,1189.48,1621.40,806.00,9412850.00,11196371039.30,237926.00
28-Nov-24,Thursday,November,Q4,2024,EQ,1196.65,1226.90,1163.15,1199.95,1169.55,1167.60,1193.73,1621.40,806.00,15602469.00,18625137899.45,389745.00
27-Nov-24,Wednesday,November,Q4,2024,EQ,1102.00,1231.70,1102.00,1128.85,1195.50,1199.95,1177.88,1621.40,806.00,24434211.00,28780575885.25,499104.00
26-Nov-24,Tuesday,November,Q4,2024,EQ,1172.05,1174.45,1119.35,1166.80,1131.50,1128.85,1138.13,1621.40,806.00,5802555.00,6604066104.80,186664.00
25-Nov-24,Monday,November,Q4,2024,EQ,1185.00,1191.40,1139.70,1136.75,1163.15,1166.80,1166.94,1621.40,806.00,10532688.00,12290989343.60,307565.00
